Metric,74,Evidence
Video,3,https://www.youtube.com/watch?v=dcHxln0QEB4
Workload is spread over the whole team (one team member is often Xtimes more productive than the others,2,https://github.com/Fall-2023-SE-Group-14/Recipe_Recommender/pulse
Number of commits,3,Commits and branching model is followed properly
Number of commits: by different people,2,2 major contributors are present. https://github.com/Fall-2023-SE-Group-14/Recipe_Recommender/pulse
Issues reports: there are many,3,There are issues
Issues are being closed,3,All issues are promptly closed. https://github.com/Fall-2023-SE-Group-14/Recipe_Recommender/pulse
DOI badge: exists,3,Lot of badges have been used
"Docs: doco generated, format not ugly",3,https://github.com/Fall-2023-SE-Group-14/Recipe_Recommender/blob/master/README.md
Docs: what: point descriptions of each class/function (in isolation),2,Explanations and code comments are present.
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",3,Screenshots added for updates.
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",3,evidence in GH
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,https://user-images.githubusercontent.com/25223347/140403709-a062e7c5-4500-49d4-9758-aea9e5fa5442.mp4
Use of version control tools,3,Proper useage of git
Use of style checkers,3,used prettier checks
Use of code formatters.,2,
Use of syntax checkers.,3,Synxtax checkers are being used in both backend and frontend projects
Use of code coverage,3,coverage is over 75%
Other automated analysis tools,1,
Test cases exist,3,https://github.com/Fall-2023-SE-Group-14/Recipe_Recommender/tree/master/Code/backend/__tests__
Test cases are routinely executed,3,executed every time the server is started
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,https://github.com/Fall-2023-SE-Group-14/Recipe_Recommender/blob/master/CONTRIBUTING.md
Issues are discussed before they are closed,2,"issues are discussed internally, but not on comments"
Chat channel: exists,0,chat channel for the project is not present
Test cases: a large proportion of the issues related to handling failing cases.,3,
Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,
Evidence that the members of the team are working across multiple places in the code base,3,changes are made across the entire directory.
Short release cycles,3,
"Does your website and documentation provide a clear, high-level overview of your software?",Y,
Does your website and documentation clearly describe the type of user who should use your software?,Y,
Do you publish case studies to show how your software has been used by yourself and others?,N,
Is the name of your project/software unique?,N,
Is your project/software name free from trademark violations?,N,
Is your software available as a package that can be deployed without building it?,N,
Is your software available for free?,Y,
"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Y,
"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Y,
Is your documentation clearly available on your website or within your software?,Y,
"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Y,
"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",Y,
"Do you provide a comprehensive guide to all your software’s commands, functions and options?",Y,
Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,N,
"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",Y,
Do you store your documentation under revision control with your source code?,Y,
"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?*",Y,
Does your software describe how a user can get help with using your software?,N,
"Does your website and documentation describe what support, if any, you provide to users and developers?",N,
Does your project have an e-mail address or forum that is solely for supporting users?,Y,
: Are e-mails to your support e-mail address received by more than one person?,Y,
Does your project have a ticketing system to manage bug reports and feature requests?,Y,
"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Y,
Is your software’s architecture and design modular?,Y,
Does your software use an accepted coding standard or convention?,Y,
Does your software allow data to be imported and exported using open data formats?,N,
Does your software allow communications using open communications protocols?,Y,
Is your software cross-platform compatible?,Y,
Does your software adhere to appropriate accessibility conventions or standards?,Y,
Does your documentation adhere to appropriate accessibility conventions or standards?*,Y,
